WKT,OBJECTID,hour,lon,depth,month,second,magnitude,year,lat,day,minute,Shape_X,Shape_Y
POINT (-13521980.0411 4931552.9185),356,15,-121.47,,3,17,5.5,1950,40.45,20,22,-1.40E+07,4931553
POINT (-12857402.4833 3908585.4688),357,17,-115.5,6,7,47.05,5.32,1950,33.1,28,50,-1.30E+07,3908585
POINT (-12876326.8003 3911243.4524),358,14,-115.67,6,7,32.01,5.41,1950,33.12,29,36,-1.30E+07,3911243
POINT (-13366132.7234 4877575.2469),359,13,-120.07,,12,19,5.6,1950,40.08,14,24,-1.30E+07,4877575
POINT (-12805082.3102 3860844.5823),360,7,-115.03,6,1,52.88,5.94,1951,32.74,24,16,-1.30E+07,3860845
POINT (-13948333.7532 4934479.024),361,19,-125.3,,4,8,5,1951,40.47,1,21,-1.40E+07,4934479
POINT (-13489697.3308 4380725.4557),362,10,-121.18,,7,45,5,1951,36.58,29,53,-1.30E+07,4380725
POINT (-13859278.1449 4902339.0991),363,4,-124.5,,10,35,6,1951,40.25,8,10,-1.40E+07,4902339
POINT (-13167983.9149 3886016.9358),364,,-118.29,6,12,54.94,5.74,1951,32.93,26,46,-1.30E+07,3886017
POINT (-13200266.6201 4518858.7859),365,2,-118.58,,12,27,5.2,1951,37.57,28,49,-1.30E+07,4518859
POINT (-13333850.056 4782013.5352),366,15,-119.78,,5,32,5.1,1952,39.42,9,31,-1.30E+07,4782014
POINT (-13249247.1752 4161164.2161),367,11,-119.02,6,7,14.27,7.5,1952,34.98,21,52,-1.30E+07,4161164
POINT (-13254813.1509 4163881.8042),368,12,-119.07,6,7,31.07,6.3,1952,35,21,5,-1.30E+07,4163882
POINT (-13226983.2738 4166600.059),369,12,-118.82,6,7,36.02,5.19,1952,35.02,21,19,-1.30E+07,4166600
POINT (-13189134.6415 4177479.7293),370,12,-118.48,6,7,1.77,5.18,1952,35.1,21,22,-1.30E+07,4177480
POINT (-13228096.4703 4185646.4846),371,19,-118.83,6,7,21.9,5.23,1952,35.16,21,41,-1.30E+07,4185646
POINT (-13200266.5953 4217008.3755),372,,-118.58,6,7,32.05,5.7,1952,35.39,23,38,-1.30E+07,4217008
POINT (-13204719.3756 4215642.9598),373,3,-118.62,6,7,22.36,5.07,1952,35.38,23,19,-1.30E+07,4215643
POINT (-13225870.0785 4163881.8063),374,7,-118.81,6,7,18.11,5.56,1952,35,23,53,-1.30E+07,4163882
POINT (-13224756.8854 4189732.1226),375,13,-118.8,6,7,5.43,5.8,1952,35.19,23,17,-1.30E+07,4189732
POINT (-13238115.2241 4158447.292),376,18,-118.92,14.5,7,50.76,5.11,1952,34.96,23,13,-1.30E+07,4158447
POINT (-13192474.2293 4211547.7296),377,19,-118.51,,7,44.23,5.8,1952,35.35,25,9,-1.30E+07,4211548
POINT (-13190247.8388 4207454.0192),378,19,-118.49,,7,22.91,6,1952,35.32,25,43,-1.30E+07,4207454
POINT (-13232549.2527 4212912.6345),379,7,-118.87,6,7,46.4,6.3,1952,35.36,29,3,-1.30E+07,4212913
POINT (-13228096.4728 4218373.9583),380,8,-118.83,6,7,46.01,5.18,1952,35.4,29,1,-1.30E+07,4218374
POINT (-13190247.8382 4200634.5416),381,12,-118.49,6,7,9.37,5.5,1952,35.27,31,9,-1.30E+07,4200635
POINT (-13258152.7367 4170678.683),382,16,-119.1,6,8,50.65,5.03,1952,35.05,7,31,-1.30E+07,4170679
POINT (-13240341.6182 4211547.7259),383,22,-118.94,1,8,23.19,5.51,1952,35.35,22,41,-1.30E+07,4211548
POINT (-13850372.5835 4895049.1572),384,11,-124.42,,9,25,5.2,1952,40.2,22,41,-1.40E+07,4895049
POINT (-13499716.0773 4267648.4529),385,7,-121.27,6,11,37.13,6.2,1952,35.76,22,46,-1.30E+07,4267648
POINT (-13356113.9492 4695921.5537),386,5,-119.98,,3,,5,1953,38.82,22,19,-1.30E+07,4695922
POINT (-12861855.2611 3864815.5871),387,4,-115.54,6,6,25.94,5.5,1953,32.77,14,17,-1.30E+07,3864816
POINT (-13356113.9594 4797877.1395),388,3,-119.98,,9,29,5.3,1953,39.53,26,34,-1.30E+07,4797877
POINT (-13253699.9556 4162522.9269),389,23,-119.06,4.1,1,48.65,5.7,1954,34.99,12,33,-1.30E+07,4162523
POINT (-12841817.7459 3809342.3878),390,4,-115.36,6,2,59.92,5.48,1954,32.35,1,31,-1.30E+07,3809342
POINT (-12920854.6059 3933860.8225),391,9,-116.07,6,3,27.99,6.4,1954,33.29,19,54,-1.30E+07,3933861
POINT (-12923080.9954 3921881.4483),392,10,-116.09,6,3,16.29,5.48,1954,33.2,19,21,-1.30E+07,3921881
POINT (-13537564.723 4425177.9064),393,20,-121.61,,4,28,5.6,1954,36.9,25,33,-1.40E+07,4425178
POINT (-13247020.785 4161164.2162),394,23,-119,14.8,5,43.07,5.03,1954,34.98,23,52,-1.30E+07,4161164
POINT (-13194700.6695 4782013.5493),395,11,-118.53,,7,20,6.6,1954,39.42,6,13,-1.30E+07,4782014
POINT (-13194700.6695 4782013.5493),396,11,-118.53,,7,,5.7,1954,39.42,6,49,-1.30E+07,4782014
POINT (-13194700.6695 4782013.5493),397,13,-118.53,,7,11,5.2,1954,39.42,6,15,-1.30E+07,4782014
POINT (-13191361.0824 4764736.3216),398,22,-118.5,,7,41,6.4,1954,39.3,6,7,-1.30E+07,4764736
POINT (-13191361.0824 4764736.3216),399,19,-118.5,,7,57,5.3,1954,39.3,8,31,-1.30E+07,4764736
POINT (-13191361.0824 4764736.3216),400,16,-118.5,,7,25,5.1,1954,39.3,12,5,-1.30E+07,4764736
POINT (-13191361.0824 4764736.3216),401,2,-118.5,,7,10,5.1,1954,39.3,30,,-1.30E+07,4764736
POINT (-13191361.0824 4764736.3216),402,10,-118.5,,8,53,5.4,1954,39.3,2,18,-1.30E+07,4764736
POINT (-13185795.1109 4805096.1937),403,5,-118.45,,8,32,6.8,1954,39.58,24,51,-1.30E+07,4805096
POINT (-13191361.0852 4793548.2295),404,5,-118.5,,8,46,5.2,1954,39.5,24,57,-1.30E+07,4793548
POINT (-13157965.2338 4807985.2694),405,22,-118.2,,8,32,6.3,1954,39.6,31,20,-1.30E+07,4807985
POINT (-13157965.2338 4807985.2694),406,5,-118.2,,9,46,5.5,1954,39.6,1,18,-1.30E+07,4807985
POINT (-13985069.1869 4905256.57),407,11,-125.63,,11,35,6.5,1954,40.27,25,16,-1.40E+07,4905257
POINT (-13157965.2297 4767613.8032),408,11,-118.2,,12,13,7.1,1954,39.32,16,7,-1.30E+07,4767614
POINT (-13135701.3304 4793548.2351),409,11,-118,,12,29,6.8,1954,39.5,16,11,-1.30E+07,4793548
POINT (-13135701.3304 4793548.2351),410,11,-118,,12,36,5,1954,39.5,16,50,-1.30E+07,4793548
